ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,rating_count
0451197410,How Stella Got Her Groove Back,Terry McMillan,1998,Signet Book,http://images.amazon.com/images/P/0451197410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451197410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451197410.01.LZZZZZZZ.jpg,50
0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books,http://images.amazon.com/images/P/0316601950.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg,568
0445406518,Crocodile on the Sandbank,Elizabeth Peters,1988,Warner Books,http://images.amazon.com/images/P/0445406518.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0445406518.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0445406518.01.LZZZZZZZ.jpg,68
0345313151,Bearing an Hourglass (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Del Rey Books,http://images.amazon.com/images/P/0345313151.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345313151.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345313151.01.LZZZZZZZ.jpg,55
0345314255,Sword of Shannara,Terry Brooks,1995,Del Rey Books,http://images.amazon.com/images/P/0345314255.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345314255.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345314255.01.LZZZZZZZ.jpg,98
0061031429,The Vendetta Defense,Lisa Scottoline,2002,HarperTorch,http://images.amazon.com/images/P/0061031429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061031429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061031429.01.LZZZZZZZ.jpg,65
1573227331,About a Boy,Nick Hornby,1999,Riverhead Books,http://images.amazon.com/images/P/1573227331.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg,105
080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books,http://images.amazon.com/images/P/080411918X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080411918X.01.LZZZZZZZ.jpg,101
1551668653,Getting Rid Of Bradley,Jennifer Crusie,2001,Mira,http://images.amazon.com/images/P/1551668653.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668653.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668653.01.LZZZZZZZ.jpg,75
0440237300,Three Weeks in Paris,BARBARA TAYLOR BRADFORD,2002,Dell,http://images.amazon.com/images/P/0440237300.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440237300.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440237300.01.LZZZZZZZ.jpg,57
0066214122,Prey: A Novel,Michael Crichton,2002,HarperCollins,http://images.amazon.com/images/P/0066214122.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0066214122.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0066214122.01.LZZZZZZZ.jpg,191
0446604275,Primary Colors: A Novel of Politics,Anonymous,1996,Warner Books,http://images.amazon.com/images/P/0446604275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604275.01.LZZZZZZZ.jpg,93
0375502238,Blessings,ANNA QUINDLEN,2002,Random House,http://images.amazon.com/images/P/0375502238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg,145
0440202043,Shell Seekers,Rosamunde Pilcher,1996,Dell,http://images.amazon.com/images/P/0440202043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440202043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440202043.01.LZZZZZZZ.jpg,135
0451183665,A Case of Need,Michael Crichton,1994,Signet Book,http://images.amazon.com/images/P/0451183665.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451183665.01.LZZZZZZZ.jpg,191
0399150897,Blow Fly: A Scarpetta Novel,Patricia Cornwell,2003,Putnam Publishing Group,http://images.amazon.com/images/P/0399150897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399150897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399150897.01.LZZZZZZZ.jpg,135
074322535X,Gap Creek: The Story of a Marriage,Robert Morgan,2001,Touchstone,http://images.amazon.com/images/P/074322535X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/074322535X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/074322535X.01.LZZZZZZZ.jpg,88
0684841185,Death du Jour,Kathy Reichs,1999,Scribner,http://images.amazon.com/images/P/0684841185.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684841185.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684841185.01.LZZZZZZZ.jpg,57
0316693286,Pop Goes the Weasel,James Patterson,1999,Replica Books,http://images.amazon.com/images/P/0316693286.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316693286.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316693286.01.LZZZZZZZ.jpg,90
0451180429,The Quiet Game,Greg Iles,2000,Signet Book,http://images.amazon.com/images/P/0451180429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451180429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451180429.01.LZZZZZZZ.jpg,78
0373250126,Milkrun,Sarah Mlynowski,2001,Harlequin,http://images.amazon.com/images/P/0373250126.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373250126.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373250126.01.LZZZZZZZ.jpg,80
0451410947,Must Love Dogs,Claire Cook,2003,Onyx Books,http://images.amazon.com/images/P/0451410947.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451410947.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451410947.01.LZZZZZZZ.jpg,64
038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday,http://images.amazon.com/images/P/038550926X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038550926X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038550926X.01.LZZZZZZZ.jpg,144
0552998001,Blackberry Wine,Joanne Harris,2001,Black Swan,http://images.amazon.com/images/P/0552998001.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998001.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998001.01.LZZZZZZZ.jpg,72
0671004530,On the Street Where You Live,Mary Higgins Clark,2002,Pocket,http://images.amazon.com/images/P/0671004530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004530.01.LZZZZZZZ.jpg,194
0440226414,Fortune's Hand,Belva Plain,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440226414.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440226414.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440226414.01.LZZZZZZZ.jpg,62
0060959037,Prodigal Summer: A Novel,Barbara Kingsolver,2001,Perennial,http://images.amazon.com/images/P/0060959037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060959037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg,253
055327886X,Rubyfruit Jungle,Rita Mae Brown,1983,Bantam Books,http://images.amazon.com/images/P/055327886X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055327886X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055327886X.01.LZZZZZZZ.jpg,53
0805036377,M Is for Malice (Kinsey Millhone Mysteries (Hardcover)),Sue Grafton,1996,Henry Holt &amp; Company,http://images.amazon.com/images/P/0805036377.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0805036377.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0805036377.01.LZZZZZZZ.jpg,69
014028009X,Bridget Jones's Diary,Helen Fielding,1999,Penguin Books,http://images.amazon.com/images/P/014028009X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014028009X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014028009X.01.LZZZZZZZ.jpg,270
0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books,http://images.amazon.com/images/P/0312244266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312244266.01.LZZZZZZZ.jpg,97
0446600342,Where There's Smoke,Sandra Brown,1994,Warner Books,http://images.amazon.com/images/P/0446600342.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446600342.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446600342.01.LZZZZZZZ.jpg,52
0452282829,We Were the Mulvaneys,Joyce Carol Oates,1996,Plume,http://images.amazon.com/images/P/0452282829.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452282829.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452282829.01.LZZZZZZZ.jpg,342
034540761X,The Final Judgment,Richard North Patterson,1997,Ballantine Books,http://images.amazon.com/images/P/034540761X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034540761X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034540761X.01.LZZZZZZZ.jpg,91
0060929871,Brave New World,Aldous Huxley,1998,Perennial,http://images.amazon.com/images/P/0060929871.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060929871.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg,119
0393312836,A Clockwork Orange (Norton Paperback Fiction),Anthony Burgess,1986,W. W. Norton &amp; Company,http://images.amazon.com/images/P/0393312836.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393312836.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393312836.01.LZZZZZZZ.jpg,52
0515093556,Belinda,Anne Rice,1994,Jove Books,http://images.amazon.com/images/P/0515093556.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515093556.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515093556.01.LZZZZZZZ.jpg,69
0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg,283
0679732411,Gift from the Sea,Anne Morrow Lindbergh,1991,Pantheon Books,http://images.amazon.com/images/P/0679732411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679732411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679732411.01.LZZZZZZZ.jpg,58
0446606243,The Tenth Justice,Brad Meltzer,1998,Warner Books,http://images.amazon.com/images/P/0446606243.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606243.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606243.01.LZZZZZZZ.jpg,64
0316785261,The Fig Eater : A Novel,Jody Shields,2001,Back Bay Books,http://images.amazon.com/images/P/0316785261.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316785261.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316785261.01.LZZZZZZZ.jpg,50
0142001430,Year of Wonders,Geraldine Brooks,2002,Penguin Books,http://images.amazon.com/images/P/0142001430.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142001430.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142001430.01.LZZZZZZZ.jpg,169
080410526X,All I Really Need to Know,ROBERT FULGHUM,1989,Ivy Books,http://images.amazon.com/images/P/080410526X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/080410526X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/080410526X.01.LZZZZZZZ.jpg,257
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,http://images.amazon.com/images/P/031242227X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031242227X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031242227X.01.LZZZZZZZ.jpg,161
0767914767,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2004,Broadway Books,http://images.amazon.com/images/P/0767914767.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767914767.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767914767.01.LZZZZZZZ.jpg,60
0679721037,Hiroshima,John Hersey,1989,Vintage Books USA,http://images.amazon.com/images/P/0679721037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679721037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679721037.01.LZZZZZZZ.jpg,52
0140270590,A New Song (Mitford Years (Paperback)),Jan Karon,2000,Viking Books,http://images.amazon.com/images/P/0140270590.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140270590.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140270590.01.LZZZZZZZ.jpg,66
0440235596,Tara Road,Maeve Binchy,2000,Dell Publishing Company,http://images.amazon.com/images/P/0440235596.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg,250
0375504907,Reading Lolita in Tehran : A Memoir in Books,AZAR NAFISI,2003,Random House,http://images.amazon.com/images/P/0375504907.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375504907.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375504907.01.LZZZZZZZ.jpg,52
0441627404,The Once and Future King,T. H. White,1987,Ace Books,http://images.amazon.com/images/P/0441627404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441627404.01.LZZZZZZZ.jpg,73
0553562738,Doomsday Book,Connie Willis,1993,Spectra Books,http://images.amazon.com/images/P/0553562738.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553562738.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553562738.01.LZZZZZZZ.jpg,69
042516098X,Hornet's Nest,Patricia Daniels Cornwell,1998,Berkley Publishing Group,http://images.amazon.com/images/P/042516098X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042516098X.01.LZZZZZZZ.jpg,182
0446613266,Four Blind Mice,James Patterson,2003,Warner Books,http://images.amazon.com/images/P/0446613266.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446613266.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446613266.01.LZZZZZZZ.jpg,113
038549081X,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,http://images.amazon.com/images/P/038549081X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038549081X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg,136
0552998486,Chocolat,Joanne Harris,2000,Black Swan,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg,112
0671041789,The Green Mile,Stephen King,1999,Pocket,http://images.amazon.com/images/P/0671041789.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg,219
0439139597,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439139597.01.LZZZZZZZ.jpg,194
0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439064864.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064864.01.LZZZZZZZ.jpg,170
0441005489,"Redwall (Redwall, Book 1)",Brian Jacques,1998,Ace Books,http://images.amazon.com/images/P/0441005489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441005489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441005489.01.LZZZZZZZ.jpg,94
0440180295,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,http://images.amazon.com/images/P/0440180295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440180295.01.LZZZZZZZ.jpg,169
1573229083,My Dream of You,Nuala O'Faolain,2002,Riverhead Books,http://images.amazon.com/images/P/1573229083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1573229083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1573229083.01.LZZZZZZZ.jpg,55
0380805995,Kiss of the Bees: A Novel of Suspense,J.A. Jance,2001,Avon,http://images.amazon.com/images/P/0380805995.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380805995.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380805995.01.LZZZZZZZ.jpg,53
0449003795,P Is for Peril,Sue Grafton,2002,Ballantine Books,http://images.amazon.com/images/P/0449003795.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449003795.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449003795.01.LZZZZZZZ.jpg,222
0060935464,To Kill a Mockingbird,Harper Lee,2002,Perennial Classics,http://images.amazon.com/images/P/0060935464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060935464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060935464.01.LZZZZZZZ.jpg,50
0446322180,Name of the Rose-Nla,Umberto Eco,1984,Warner Books,http://images.amazon.com/images/P/0446322180.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446322180.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446322180.01.LZZZZZZZ.jpg,58
1551668998,Beach House,Mary Alice Monroe,2002,Mira,http://images.amazon.com/images/P/1551668998.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1551668998.01.LZZZZZZZ.jpg,111
0446519081,The Tenth Insight : Holding the Vision,James Redfield,1996,Warner Books,http://images.amazon.com/images/P/0446519081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446519081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446519081.01.LZZZZZZZ.jpg,65
044651862X,The Celestine Prophecy (Celestine Prophecy),James Redfield,1994,Warner Books,http://images.amazon.com/images/P/044651862X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044651862X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044651862X.01.LZZZZZZZ.jpg,186
0874776945,The Artist's Way : A Spiritual Path to Higher Creativity,Julia Cameron,1992,Jeremy P. Tarcher,http://images.amazon.com/images/P/0874776945.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0874776945.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0874776945.01.LZZZZZZZ.jpg,70
043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg,334
0425158640,Idoru,William Gibson,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425158640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158640.01.LZZZZZZZ.jpg,66
0451184963,Insomnia,Stephen King,1995,Signet Book,http://images.amazon.com/images/P/0451184963.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451184963.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451184963.01.LZZZZZZZ.jpg,188
0440220602,The Chamber,John Grisham,1995,Dell Publishing Company,http://images.amazon.com/images/P/0440220602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440220602.01.LZZZZZZZ.jpg,379
042513525X,Hideaway,Dean R. Koontz,1992,Berkley Publishing Group,http://images.amazon.com/images/P/042513525X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/042513525X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/042513525X.01.LZZZZZZZ.jpg,139
0451156609,The Tommyknockers,Stephen King,1994,Signet Book,http://images.amazon.com/images/P/0451156609.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451156609.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451156609.01.LZZZZZZZ.jpg,170
034530988X,Friday,Robert Heinlein,1988,Del Rey Books,http://images.amazon.com/images/P/034530988X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/034530988X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/034530988X.01.LZZZZZZZ.jpg,51
1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,http://images.amazon.com/images/P/1400031354.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg,202
0425170349,Rainbow Six,Tom Clancy,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425170349.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425170349.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425170349.01.LZZZZZZZ.jpg,123
0671695169,Midnight Whispers (Cutler),V.C. Andrews,1992,Pocket,http://images.amazon.com/images/P/0671695169.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671695169.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671695169.01.LZZZZZZZ.jpg,77
0671695142,Twilight's Child (Cutler),V.C. Andrews,1992,Pocket,http://images.amazon.com/images/P/0671695142.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671695142.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671695142.01.LZZZZZZZ.jpg,76
0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books,http://images.amazon.com/images/P/0446608955.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg,284
0440204194,Firefly Summer,Maeve Binchy,1989,Dell,http://images.amazon.com/images/P/0440204194.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440204194.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440204194.01.LZZZZZZZ.jpg,91
0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,http://images.amazon.com/images/P/0440414806.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440414806.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440414806.01.LZZZZZZZ.jpg,154
014038572X,The Outsiders (Now in Speak!),S. E. Hinton,1997,Puffin Books,http://images.amazon.com/images/P/014038572X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/014038572X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/014038572X.01.LZZZZZZZ.jpg,89
0440241073,The Summons,John Grisham,2002,Dell Publishing Company,http://images.amazon.com/images/P/0440241073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg,456
0553277243,Time Flies,BILL COSBY,1988,Bantam,http://images.amazon.com/images/P/0553277243.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553277243.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553277243.01.LZZZZZZZ.jpg,55
0553287303,Second Child,John Saul,1997,Bantam Books,http://images.amazon.com/images/P/0553287303.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553287303.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553287303.01.LZZZZZZZ.jpg,62
0451190521,The Green Mile: The Mouse on the Mile (Green Mile Series),Stephen King,1996,Signet Book,http://images.amazon.com/images/P/0451190521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451190521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451190521.01.LZZZZZZZ.jpg,72
0451190491,The Two Dead Girls (Green Mile Series),Stephen King,1996,Signet Book,http://images.amazon.com/images/P/0451190491.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451190491.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451190491.01.LZZZZZZZ.jpg,85
0449227421,The Third Twin,Ken Follett,1997,Fawcett Books,http://images.amazon.com/images/P/0449227421.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449227421.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449227421.01.LZZZZZZZ.jpg,109
0451167716,The Godfather,Mario Puzo,2004,Signet Book,http://images.amazon.com/images/P/0451167716.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451167716.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451167716.01.LZZZZZZZ.jpg,54
0446606324,The Winner,David Baldacci,1998,Warner Vision,http://images.amazon.com/images/P/0446606324.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606324.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606324.01.LZZZZZZZ.jpg,153
0446604089,The Best Laid Plans,Sidney Sheldon,1998,Warner Books,http://images.amazon.com/images/P/0446604089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446604089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446604089.01.LZZZZZZZ.jpg,64
0515132187,The Villa,Nora Roberts,2002,Jove Books,http://images.amazon.com/images/P/0515132187.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515132187.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515132187.01.LZZZZZZZ.jpg,177
0449213447,The Chosen,Chaim Potok,1995,Fawcett Books,http://images.amazon.com/images/P/0449213447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449213447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449213447.01.LZZZZZZZ.jpg,64
0446670251,The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,http://images.amazon.com/images/P/0446670251.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446670251.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446670251.01.LZZZZZZZ.jpg,185
0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425154092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg,229
0425179613,It's Not About the Bike: My Journey Back to Life,Lance Armstrong,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425179613.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425179613.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425179613.01.LZZZZZZZ.jpg,94
